text,source,cleaned_text,sentiment,score
Schlag gegen Drogenhändler: Kryptowährung im Wert von zehn Millionen Euro sichergestellt Hier finden Sie Informationen zu dem Thema „Schlag gegen Drogenhändler“. Lesen Sie jetzt „Kryptowährung im Wert von zehn Millionen Euro sichergestellt“.,NewsAPI,schlag gegen drogenhändler kryptowährung im wert von zehn millionen euro sichergestellt hier finden sie informationen zu dem thema schlag gegen drogenhändler lesen sie jetzt kryptowährung im wert von zehn millionen euro sichergestellt ,Neutral,0.0
Tech Now Can we clean up air travel? Adrienne Murray takes to the skies in Sweden to explore developments in electric flight. Joe Tidy visits Zambia to see how Bitcoin is helping electricity projects.,NewsAPI,tech now can we clean up air travel adrienne murray takes to the skies in sweden to explore developments in electric flight joe tidy visits zambia to see how bitcoin is helping electricity projects ,Positive,0.5994
"Cryptomonnaie : C’est quoi American Bitcoin, le nouveau business des deux fils aînés de Donald Trump ? Eric et Donald Trump Jr investissent dans une nouvelle entreprise dédiée au minage de bitcoin. Un projet qui renforce des liens déjà étroits entre la famille Trump et l’univers des cryptomonnaies",NewsAPI,cryptomonnaie c est quoi american bitcoin le nouveau business des deux fils aînés de donald trump eric et donald trump jr investissent dans une nouvelle entreprise dédiée au minage de bitcoin un projet qui renforce des liens déjà étroits entre la famille trump et l univers des cryptomonnaies,Neutral,0.0
Female executives are fighting back against alpha male CEOs Boardrooms are brimming with bro-ish bravado. Female executives have had enough.,NewsAPI,female executives are fighting back against alpha male ceos boardrooms are brimming with bro ish bravado female executives have had enough ,Negative,-0.3612
"‘This Time Is Different’—A Legendary Trader’s Huge, Cryptic Bitcoin Price Prediction Is Suddenly Coming True A legendary Wall Street trader’s huge bitcoin price prediction that could see the bitcoin price soar in coming months has hit its first milestone...",NewsAPI, this time is different a legendary trader s huge cryptic bitcoin price prediction is suddenly coming true a legendary wall street trader s huge bitcoin price prediction that could see the bitcoin price soar in coming months has hit its first milestone ,Positive,0.7506
"What Is The Correlation Between BTC And MSTR? Strategy, formerly known as MicroStrategy, is the largest corporate holder of bitcoin and currently trades at a multiple to its net asset value (mNAV) of its bitcoin.",NewsAPI,what is the correlation between btc and mstr strategy formerly known as microstrategy is the largest corporate holder of bitcoin and currently trades at a multiple to its net asset value mnav of its bitcoin ,Positive,0.5994
"DEMAND Launch First Stratum V2 Bitcoin Mining Pool Following VC Close Today, DEMAND launch first Stratum V2 Bitcoin mining pool built on the Stratum Reference Implementation (SRI), following their funding round close led by Bitcoin VC TVP.",NewsAPI,demand launch first stratum v2 bitcoin mining pool following vc close today demand launch first stratum v2 bitcoin mining pool built on the stratum reference implementation sri following their funding round close led by bitcoin vc tvp ,Negative,-0.25
"GameStop Joins The Bitcoin Treasury Game Breaking down GameStop's new Bitcoin Treasury strategy, it's most recent note offering, and how its bitcoin purchases could impact the market",NewsAPI,gamestop joins the bitcoin treasury game breaking down gamestop s new bitcoin treasury strategy it s most recent note offering and how its bitcoin purchases could impact the market,Positive,0.3818
"Chinese People Continue Buying More Bitcoin, Despite Strict Bans China's people continue buying Bitcoin and Tether despite bans, leading to dramatic geopolitical consequences - and a hidden yet continued demand factor for Bitcoin.",NewsAPI,chinese people continue buying more bitcoin despite strict bans china s people continue buying bitcoin and tether despite bans leading to dramatic geopolitical consequences and a hidden yet continued demand factor for bitcoin ,Negative,-0.128
BitBonds: The $2 Trillion Idea That Could Slash The National Debt Some financial analysts believe Bitcoin-enhanced Treasury bonds could play a critical role in reducing the federal debt and stocking the strategic Bitcoin reserve.,NewsAPI,bitbonds the 2 trillion idea that could slash the national debt some financial analysts believe bitcoin enhanced treasury bonds could play a critical role in reducing the federal debt and stocking the strategic bitcoin reserve ,Negative,-0.6369
"Sources: Coinbase is in advanced talks to buy Deribit, the largest bitcoin and ether options trading platform, which was reportedly valued at $4B-$5B in January (Bloomberg) Bloomberg:
Sources: Coinbase is in advanced talks to buy Deribit, the largest bitcoin and ether options trading platform, which was reportedly valued at $4B-$5B in January  —  The companies have notified regulators in Dubai about the discussions as Deribit ho…",NewsAPI,sources coinbase is in advanced talks to buy deribit the largest bitcoin and ether options trading platform which was reportedly valued at 4b 5b in january bloomberg bloomberg sources coinbase is in advanced talks to buy deribit the largest bitcoin and ether options trading platform which was reportedly valued at 4b 5b in january the companies have notified regulators in dubai about the discussions as deribit ho ,Positive,0.8316
White House Leak Sparks Wild Speculation Trump Is About To Blow Up The Bitcoin Price A White House leak has revealed one of Donald Trump’s top bitcoin and crypto officials reportedly said the Trump administration wants to acquire as much bitcoin as possible...,NewsAPI,white house leak sparks wild speculation trump is about to blow up the bitcoin price a white house leak has revealed one of donald trump s top bitcoin and crypto officials reportedly said the trump administration wants to acquire as much bitcoin as possible ,Negative,-0.4588
"South African Bitcoin Circular Economy Project Deepens Community Ties Bitcoin Ekasi, a Bitcoin circular economy project based in a township in Mossel Bay, South Africa continues to have a positive impact on its community members.",NewsAPI,south african bitcoin circular economy project deepens community ties bitcoin ekasi a bitcoin circular economy project based in a township in mossel bay south africa continues to have a positive impact on its community members ,Positive,0.5574
"Why is Crypto Crashing? The cryptocurrency market has experienced significant turbulence recently, with prices of major assets like Bitcoin, Ethereum, and others plummeting. This crash has left many investors, especially new traders, wondering: Why is crypto crashing? In this articl…",NewsAPI,why is crypto crashing the cryptocurrency market has experienced significant turbulence recently with prices of major assets like bitcoin ethereum and others plummeting this crash has left many investors especially new traders wondering why is crypto crashing in this articl ,Positive,0.2204
"BoursoBank entre dans l’ère de la cryptomonnaie : les clients peuvent désormais investir dans le Bitcoin et l’Ethereum La banque en ligne issue de la Société Générale et forte de 7,2 millions de clients fait peau neuve en amorçant un virage qu'elle se refusait de prendre auparavant. Les clients BoursoBank peuvent désormais investir dans cinq cryptomonnaies différentes, dont l…",NewsAPI,boursobank entre dans l ère de la cryptomonnaie les clients peuvent désormais investir dans le bitcoin et l ethereum la banque en ligne issue de la société générale et forte de 7 2 millions de clients fait peau neuve en amorçant un virage qu elle se refusait de prendre auparavant les clients boursobank peuvent désormais investir dans cinq cryptomonnaies différentes dont l ,Neutral,0.0
"Dan Peña, el autoproclamado “50 milmillonario” : ""Si os digo quién está detrás del Bitcoin lo venderéis todo al instante, se va a ir todo a 0"" Dan Peña es una de esas figuras controvertidas del mundo de las finanzas. Es analista de mercado, y se ha proclamado a sí mismo como ""50 mil millonario"" (50 Billionaire). De hecho, su objetivo empresarial actualmente es enseñar y ayudar a las personas a conse…",NewsAPI,dan peña el autoproclamado 50 milmillonario si os digo quién está detrás del bitcoin lo venderéis todo al instante se va a ir todo a 0 dan peña es una de esas figuras controvertidas del mundo de las finanzas es analista de mercado y se ha proclamado a sí mismo como 50 mil millonario 50 billionaire de hecho su objetivo empresarial actualmente es enseñar y ayudar a las personas a conse ,Positive,0.34
"Is Bitcoin Headed To $40,000? This may sound extreme, but such a scenario has occurred before – and it could happen again.",NewsAPI,is bitcoin headed to 40 000 this may sound extreme but such a scenario has occurred before and it could happen again ,Neutral,0.0
"Tesla stock bleeds, recession fears — and Bitcoin $200,000: Markets news roundup Economists are sounding the alarm over the threat of a recession in the U.S. as uncertainty reigns over tariffs and the job market begins to feel pressure from layoffs. Read more...",NewsAPI,tesla stock bleeds recession fears and bitcoin 200 000 markets news roundup economists are sounding the alarm over the threat of a recession in the u s as uncertainty reigns over tariffs and the job market begins to feel pressure from layoffs read more ,Negative,-0.9501
"Bitcoin, Ether, Ghibli meme coins, and more cryptocurrencies to watch this week There’s no avoiding the shockwaves from tariffs news this week — not even if you’re an investor in alt currencies that were supposed to be insulated from this sort of thing. Plus, meme coin creators are trying to earn a buck off that weird Studio Ghibli-style…",NewsAPI,bitcoin ether ghibli meme coins and more cryptocurrencies to watch this week there s no avoiding the shockwaves from tariffs news this week not even if you re an investor in alt currencies that were supposed to be insulated from this sort of thing plus meme coin creators are trying to earn a buck off that weird studio ghibli style ,Negative,-0.6486
‘Big Catalyst’—Serious Fed Warning Spurs Huge BlackRock Bitcoin Price Prediction Fed chair Jerome Powell has warned the risk of recession is rising—something BlackRock’s head of bitcoin and crypto has predicted could be a “big catalyst” for the bitcoin price...,NewsAPI, big catalyst serious fed warning spurs huge blackrock bitcoin price prediction fed chair jerome powell has warned the risk of recession is rising something blackrock s head of bitcoin and crypto has predicted could be a big catalyst for the bitcoin price ,Negative,-0.7506
"Prognosen zwischen 10.000 und 150.000 Dollar - Bitcoin-Fans müssen sich weiter auf turbulente Zeiten einstellen Der Bitcoin sackte zwischenzeitlich bis auf 80.000 Dollar ab, erholte sich anschließend jedoch und notiert derzeit wieder bei 87.000 Dollar. Für Kryptofans stellt sich nun die Frage: Bietet das aktuelle Niveau bereits eine günstige (Nach-)Kaufgelegenheit oder…",NewsAPI,prognosen zwischen 10 000 und 150 000 dollar bitcoin fans müssen sich weiter auf turbulente zeiten einstellen der bitcoin sackte zwischenzeitlich bis auf 80 000 dollar ab erholte sich anschließend jedoch und notiert derzeit wieder bei 87 000 dollar für kryptofans stellt sich nun die frage bietet das aktuelle niveau bereits eine günstige nach kaufgelegenheit oder ,Negative,-0.5994
"Prognosen zwischen 10.000 und 150.000 Dollar - Bitcoin-Fans müssen sich weiter auf turbulente Zeiten einstellen Der Bitcoin sackte zwischenzeitlich bis auf 80.000 Dollar ab, erholte sich anschließend jedoch und notiert derzeit wieder bei 87.000 Dollar. Für Kryptofans stellt sich nun die Frage: Bietet das aktuelle Niveau bereits eine günstige (Nach-)Kaufgelegenheit oder…",NewsAPI,prognosen zwischen 10 000 und 150 000 dollar bitcoin fans müssen sich weiter auf turbulente zeiten einstellen der bitcoin sackte zwischenzeitlich bis auf 80 000 dollar ab erholte sich anschließend jedoch und notiert derzeit wieder bei 87 000 dollar für kryptofans stellt sich nun die frage bietet das aktuelle niveau bereits eine günstige nach kaufgelegenheit oder ,Negative,-0.5994
"Trump-backed World Liberty Financial says it will launch a stablecoin World Liberty Financial, a cryptocurrency project backed by President Donald Trump’s family, announced plans for a stablecoin pinned to the U.S. dollar, just days after the president called on Congress to pass “commonsense” legislation.Read more...",NewsAPI,trump backed world liberty financial says it will launch a stablecoin world liberty financial a cryptocurrency project backed by president donald trump s family announced plans for a stablecoin pinned to the u s dollar just days after the president called on congress to pass commonsense legislation read more ,Positive,0.7906
"Upcoming Private SpaceX Mission Will Boldly Go Where No Human Has Orbited Before Fram2 is set to launch as early as March 31, sending four first-time astronauts into an orbit never before visited by humans.",NewsAPI,upcoming private spacex mission will boldly go where no human has orbited before fram2 is set to launch as early as march 31 sending four first time astronauts into an orbit never before visited by humans ,Positive,0.0772
"Kryptowährung immer wichtiger - Blackrock-Chef Larry Fink erwartet, dass Bitcoin den Dollar verdrängt Der CEO von Blackrock, Larry Fink, hat vor den Risiken des US-Schuldenanstiegs gewarnt. Wenn die neue Regierung die Staatsverschuldung nicht bremse, könnte der Bitcoin den Dollar als Weltreservewährung ablösen.",NewsAPI,kryptowährung immer wichtiger blackrock chef larry fink erwartet dass bitcoin den dollar verdrängt der ceo von blackrock larry fink hat vor den risiken des us schuldenanstiegs gewarnt wenn die neue regierung die staatsverschuldung nicht bremse könnte der bitcoin den dollar als weltreservewährung ablösen ,Negative,-0.8316
